"Instruction","Response","Category"
"খোমটি কোন রঙের ছিল?","নীল।","Factual"
"খোমটি কেন ধুলের আস্তরণ জমেছিল?","খোমটি অনেক পুরনো, ধুলের আস্তরণ জমেছিল তার ওপর।","Causal"
"অবিনোশ খোমটি খুলে দেখে কেমন অনুভব করেছিল?","অবিনোশ খোমটি খুলে দেখে সেমীর চেনা গন্ধ পেয়ে আনন্দিত হয়েছিল।","Factual"
"চিঠিটি কে লিখেছিল?","চিঠিটি সেমী লিখেছিল।","Factual"
"অবিনোশ এবং সেমীর সম্পর্ক কেমন ছিল?","অবিনোশ এবং সেমীর সম্পর্ক ছিল বন্ধুত্বপূর্ণ।","Factual"
"সেমী কেন মারা গিয়েছিল?","সেমী একটি দুর্ঘটনায় মারা গিয়েছিল।","Factual"
"অবিনোশ খোমটি খুলে দেখার পর কী করেছিল?","অবিনোশ খোমটি খুলে দেখার পর সেমীর চিঠি পড়েছিল।","Factual"
"সেমীর চিঠিতে কী লেখা ছিল?","সেমীর চিঠিতে লেখা ছিল যে সে অবিনোশকে ভালোবাসত এবং তার স্বপ্নগুলি পূরণ করতে চাইছিল।","Factual"
"অবিনোশ খোমটি খুলে দেখার পর কেমন অনুভব করেছিল?","অবিনোশ খোমটি খুলে দেখার পর সে আনন্দিত এবং উদ্দীপ্ত অনুভব করেছিল, কারণ সে সেমীর স্বপ্নগুলি পূরণ করতে চাইছিল।","Reasoning"
"অবিনোশ খোমটি খুলে দেখার পর কী শিখেছিল?","অবিনোশ খোমটি খুলে দেখার পর সে শিখেছিল যে সেমীর স্বপ্নগুলি পূরণ করা সবচেয়ে গুরুত্বপূর্ণ বিষয়।","Reasoning"
