"Instruction","Response","Category"
"একটি `int` ডাটাটাইপে কতগুলো বিট স্টোর থাকে?","একটি `int` ডাটাটাইপে ৩২টি বিট স্টোর থাকে।","Factual"
"কম্পিউটারে ঋণাত্মক সংখ্যার হিসাবের জন্য 2's complement কেন ব্যবহার করা হয়?","কম্পিউটারে Signed ডাটাটাইপে ঋণাত্মক ও অঋণাত্মক সংখ্যা স্টোর রাখা এবং হিসাব করার জন্য 2's complement ব্যবহার করা হয়। এর প্রধান কারণ হলো, এর মাধ্যমে একটি সংখ্যার যোগাত্মক বিপরীত সংখ্যাকে (যা বিয়োগের কাজে লাগে) যোগ প্রক্রিয়া ব্যবহার করেই হিসাব করা যায়। যখন x এবং তার 2's complement (x' বা -x) যোগ করা হয়, তখন ফলাফল 2u আসে, যা ডেটাটাইপের বিট লেন্থের কারণে অতিরিক্ত বিটটি বাদ দিয়ে শূন্যে পরিণত হয়। এর ফলে বিয়োগকে যোগে রূপান্তর করা সম্ভব হয়, যা কম্পিউটারের জন্য হিসাব সহজ করে তোলে।","Causal"
"ম্যাট্রিক্স গুণফলের অ্যাসোসিয়েটিভিটি বা সংযোজন প্রক্রিয়ার বৈশিষ্ট্য কেন গুরুত্বপূর্ণ?","ম্যাট্রিক্স গুণফলের অ্যাসোসিয়েটিভিটি গুরুত্বপূর্ণ কারণ এটি গণনার ক্রম (order of operations) নির্বিশেষে ফলাফলের ধারাবাহিকতা নিশ্চিত করে। অর্থাৎ, যখন তিনটি বা তার বেশি ম্যাট্রিক্স গুণ করা হয় (যেমন A, B, এবং C), তখন বন্ধনী যেভাবে স্থাপন করা হোক না কেন (A(BC) বা (AB)C), চূড়ান্ত গুণফল একই থাকবে। এই বৈশিষ্ট্যটি জটিল ম্যাট্রিক্সভিত্তিক সমস্যা সমাধানে বা ডাইনামিক প্রোগ্রামিংয়ে অ্যালগরিদম ডিজাইন করার সময় গণনার কৌশল এবং দক্ষতা বাড়াতে সাহায্য করে, কারণ এটি মধ্যবর্তী ধাপগুলোর গ্রুপিংয়ে নমনীয়তা দেয়, যা পরে কাজে লাগতে পারে।","Reasoning"
"0/1 Knapsack বলতে কী বোঝায়?","0/1 Knapsack বলতে এমন একটি সমস্যাকে বোঝায় যেখানে প্রতিটি বস্তু সর্বোচ্চ একবার নেওয়া যাবে।","Factual"
"0-K Knapsack সমস্যার অপটিমাল সলিউশনে কেন বস্তুর 'ki' সংখ্যাকে বাইনারি রিপ্রেজেন্টেশনে বিভাজন করা হয়?","0-K Knapsack সমস্যার অপটিমাল সলিউশনের জন্য বাইনারি রিপ্রেজেন্টশন ব্যবহার করা হয় কারণ এর মাধ্যমে প্রতিটি বস্তুর 'ki' সংখ্যকবার নেওয়ার বিষয়টি 'ki' এর বাইনারি বিভাজন অনুযায়ী ছোট ছোট অংশে (যেমন 2^0, 2^1, ..., 2^x) বিভক্ত করে প্রতিটি অংশকে সর্বোচ্চ একবার করে নেওয়ার (0-1 Knapsack এর মতো) সুযোগ সৃষ্টি করা হয়। এই বিভাজিত অংশগুলো দিয়ে মূল 'ki' সংখ্যক বস্তুর যেকোনো সংখ্যায় নেওয়াকে উপস্থাপন করা যায়, যার ফলে মোট জটিলতা O(W × P log ki) এ নেমে আসে।","Causal"
"দুটি n × n ম্যাট্রিক্স গুণ করতে O(n^3) জটিলতা লাগলেও, একটি n × n ম্যাট্রিক্সের সাথে একটি n × 1 ভেক্টর গুণ করতে O(n^2) জটিলতা লাগে। এই জটিলতার পার্থক্য হওয়ার কারণ কী?","দুটি n × n ম্যাট্রিক্স গুণনে প্রতিটি ফলাফলের উপাদান নির্ণয়ের জন্য n সংখ্যক গুণ এবং n-1 সংখ্যক যোগের প্রয়োজন হয়, এবং মোট n^2 সংখ্যক উপাদান নির্ণয় করতে হয়, যার ফলে মোট জটিলতা O(n^3) হয়। অন্যদিকে, একটি n × n ম্যাট্রিক্সের সাথে একটি n × 1 ভেক্টর গুণ করার সময় ফলাফলের ভেক্টরটি 1 × n আকারের হয়, যেখানে n সংখ্যক উপাদান থাকে। প্রতিটি উপাদান নির্ণয়ের জন্য n সংখ্যক গুণ এবং n-1 সংখ্যক যোগ প্রয়োজন হয়, কিন্তু মোট n সংখ্যক উপাদান নির্ণয় করতে হয়, যার ফলে মোট জটিলতা O(n^2) হয়। অর্থাৎ, ম্যাট্রিক্স-ভেক্টর গুণনে কম সংখ্যক ফলাফলের উপাদান নির্ণয় করতে হয় বলেই জটিলতা ম্যাট্রিক্স-ম্যাট্রিক্স গুণনের চেয়ে কম হয়।","Reasoning"
"`fv,x` এর মান নির্ণয় করার সময় নোড `v` এর প্রতিটি চাইল্ড `ui` এর জন্য কয়টি প্রধান অপশন বিবেচনা করা হয়?","`fv,x` এর মান নির্ণয় করার সময় নোড `v` এর প্রতিটি চাইল্ড `ui` এর জন্য দুটি প্রধান অপশন বিবেচনা করা হয়: হয় `ui` এর সাব-ট্রি থেকে `qi` সংখ্যক নোডের একটি সাব-গ্রাফ নেওয়া, যেখানে `ui` নোডটিও অন্তর্ভুক্ত থাকবে, অথবা `(v, ui)` এজটি মুছে ফেলা।","Factual"
"`fv,x` এর মান বের করার জন্য কেন `gi,x` নামক আরেকটি ডিপি (ডাইনামিক প্রোগ্রামিং) পদ্ধতির সাহায্য নিতে হয়?","`fv,x` এর মান সরাসরি `v` এবং `x` এর উপর নির্ভর করে নির্ণয় করা কঠিন, কারণ প্রতিটি চাইল্ড থেকে সম্ভাব্য `qi` মানের বিভিন্ন সমন্বয় পরীক্ষা করলে কমপ্লিকেসিটি এক্সপোনেনশিয়াল (exponential) হয়ে যায়। এই সমস্যা এড়াতে এবং গণনার জটিলতা কমাতে `gi,x` নামক আরেকটি ডিপি পদ্ধতির সাহায্য নেওয়া হয়।","Causal"
"""এক্সচেঞ্জ আর্গুমেন্ট"" ব্যবহার করে একটি গ্রিডি অ্যালগরিদমের শুদ্ধতা (optimality) কীভাবে প্রমাণ করা হয়?","এক্সচেঞ্জ আর্গুমেন্টের মূল ধারণা হলো, যেকোনো একটি সর্বোত্তম সমাধান (optimal solution) নেওয়া হয় এবং এটিকে ধাপে ধাপে গ্রিডি অ্যালগরিদমের সমাধানটির মতো করে পরিবর্তন করা হয়, যেন এই পরিবর্তনের প্রতিটি ধাপে সমাধানের মান বা গুণগত মানের কোনো ক্ষতি না হয়। যদি দেখা যায় যে সর্বোত্তম সমাধানটিকে পরিবর্তন করে গ্রিডি সমাধানটিতে পৌঁছানো সম্ভব এবং এই প্রক্রিয়ায় মানের কোনো অবনতি হয় না, তাহলে প্রমাণ হয় যে গ্রিডি সমাধানটিও একটি সর্বোত্তম সমাধান।","Reasoning"
"একটি ব্র্যাকেট সিকোয়েন্সকে ভ্যালিড ব্র্যাকেট সিকোয়েন্সে রূপান্তর করতে ন্যূনতম কতগুলি ক্যারেক্টার বাদ দিতে হয়?","একটি ব্র্যাকেট সিকোয়েন্সকে ভ্যালিড ব্র্যাকেট সিকোয়েন্সে রূপান্তর করতে `pn − 2 min{pi}` সংখ্যক ক্যারেক্টার বাদ দিতে হয়।","Factual"
