"Instruction","Response","Category"
"উইকিপিডিয়া কী?","উইকিপিডিয়া একটি ইন্টারনেটভিত্তিক মুক্ত বিশ্বকোষ।","Factual"
"উইকিপিডিয়ার বাংলা সংস্করণটির যাত্রা শুরু হয় কবে?","২৭শে জানুয়ারি ২০০৪ সালে।","Factual"
"বাংলাদেশের প্রধান নদী কী?","পদ্মা, মেঘনা, যমুনা।","Factual"
"বাংলাদেশের স্বাধীনতা কেন ঘটে?","পূর্ব পাকিস্তানের প্রতি বৈষম্যের কারণে দীর্ঘ আন্দোলনের এক পর্যায়ে ১৯৭১ রক্তক্ষয়ী যুদ্ধের মাধ্যমে বাংলাদেশ স্বাধীন রাষ্ট্র হিসেবে আত্মপ্রকাশ করে।","Causal"
"বাংলাদেশের সরকার ব্যবস্থা কী?","সংবিধান অনুসারে বাংলাদেশে সংসদীয় পদ্ধতিতে পরিচালিত সরকার প্রতিষ্ঠিত।","Factual"
"বাংলাদেশের রাষ্ট্রভাষা কী?","বাংলা ভাষা।","Factual"
"বাংলাদেশের প্রধান সমুদ্রবন্দর কী?","চট্টগ্রাম ও মংলা।","Factual"
"বাংলাদেশের স্বাধীনতা যুদ্ধের ফলাফল কী হয়?","বাংলাদেশ স্বাধীন রাষ্ট্র হিসেবে আত্মপ্রকাশ করে।","Causal"
"উইকিপিডিয়ায় অবদান রাখার উদ্দেশ্য কী?","উইকিপিডিয়ায় অবদান রাখার উদ্দেশ্য হল জ্ঞান ভাগ করে নেওয়া এবং মানুষের জ্ঞান বৃদ্ধি করা।","Reasoning"
"বাংলাদেশের ইতিহাস ও সংস্কৃতি কীভাবে গঠিত হয়েছে?","বাংলাদেশের ইতিহাস ও সংস্কৃতি গঠিত হয়েছে বিভিন্ন সময়ের শাসন, আন্দোলন, সাংস্কৃতিক বিনিময় এবং মানুষের অবদানের মাধ্যমে।","Reasoning"
"উইকিপিডিয়ার প্রধান বিষয় কী?","উইকিপিডিয়ার প্রধান বিষয় হল বিভিন্ন ধরনের তথ্য ও জ্ঞানের সংগ্রহ।","Factual"
"উইকিপিডিয়ার উন্নয়নে কেন মিডিয়াউইকি সফটওয়্যার ব্যবহার করা হয়?","উইকিপিডিয়ার উন্নয়নে মিডিয়াউইকি সফটওয়্যার ব্যবহার করা হয় কারণ এটি ব্যবহারকারী-বান্ধব এবং বহুভাষিক সমর্থন প্রদান করে।","Causal"
"উইকিপিডিয়া কীভাবে একটি নির্ভরযোগ্য তথ্য উৎস হিসেবে বিবেচিত হয়?","উইকিপিডিয়া একটি নির্ভরযোগ্য তথ্য উৎস হিসেবে বিবেচিত হয় কারণ এটি যাচাইযোগ্যতা এবং নিরপেক্ষ দৃষ্টিভঙ্গি বজায় রাখার জন্য প্রচেষ্টা করে।","Reasoning"
"উইকিপিডিয়ার সহপ্রকল্পগুলো কী?","উইকিপিডিয়ার সহপ্রকল্পগুলো হল উইকিবই, উইকিউক্তি, উইকিসংবাদ, উইকিউপাত্ত, উইকিসংকলন, উইকিপ্রজাতি, উইকিবিশ্ববিদ্যালয়, উইকিভ্রমণ এবং উইকিঅভিধান।","Factual"
"উইকিপিডিয়া কীভাবে অবদানকারীদের সাহায্য করে?","উইকিপিডিয়া অবদানকারীদের সাহায্য করে টিউটোরিয়াল, সহায়িকা, এবং আলোচনা সভার মাধ্যমে।","Causal"
"উইকিপিডিয়ার নীতিমালা ও নির্দেশাবলী কী?","উইকিপিডিয়ার নীতিমালা ও নির্দেশাবলী হল নিরপেক্ষ দৃষ্টিভঙ্গি, যাচাইযোগ্যতা, কোন মৌলিক গবেষণা নয়, কপিরাইট, সম্পাদনা নীতি, এবং উইকিপিডিয়া কী নয়।","Factual"
"উইকিপিডিয়ার অবদানকারীর আচরণ কীভাবে হওয়া উচিত?","উইকিপিডিয়ার অবদানকারীর আচরণ হওয়া উচিত ভদ্র, সহযোগিতামূলক, এবং সম্মানজনক।","Reasoning"
"উইকিপিডিয়া কীভাবে বিভিন্ন ভাষায় উপলব্ধ?","উইকিপিডিয়া বিভিন্ন ভাষায় উপলব্ধ কারণ এটি একটি বহুভাষিক প্রকল্প।","Causal"
